"age.yr.bp","temperature","temperature.rescaled"
701,-31.5431824255881,-1.75422088454603
702,-31.5506021416663,-1.75363619945075
703,-31.5580218577444,-1.75305151435548
704,-31.5654415738225,-1.7524668292602
705,-31.5728612899006,-1.75188214416492
706,-31.5802810059788,-1.75129745906965
707,-31.5877118454109,-1.75071189743688
708,-31.5930115785179,-1.75029427027649
709,-31.5954926688046,-1.75009875652699
710,-31.5979388595415,-1.74990599291595
711,-31.6003850502784,-1.74971322930492
712,-31.6028312410152,-1.74952046569389
713,-31.6052774317521,-1.74932770208286
714,-31.607723622489,-1.74913493847182
715,-31.6101698132259,-1.74894217486079
716,-31.612768430874,-1.74873739977355
717,-31.6186101768236,-1.7482770611634
718,-31.6258455759682,-1.74770690052737
719,-31.6330667899192,-1.74713785770653
720,-31.6402880038701,-1.74656881488569
721,-31.647509217821,-1.74599977206485
722,-31.6547304317719,-1.74543072924402
723,-31.6619516457229,-1.74486168642318
724,-31.6691654854141,-1.7442932247054
725,-31.6771068922802,-1.74366742956968
726,-31.6866310710999,-1.74291690955759
727,-31.6962213215978,-1.74216118299514
728,-31.7058115720957,-1.74140545643268
729,-31.7154018225936,-1.74064972987023
730,-31.7249920730915,-1.73989400330778
731,-31.7345823235894,-1.73913827674533
732,-31.7441725740872,-1.73838255018288
733,-31.7537849379653,-1.73762508105189
734,-31.7612717090559,-1.73703511191798
735,-31.763839189625,-1.7368327904807
736,-31.7661809067061,-1.73664825955522
737,-31.7685226335459,-1.73646372786074
738,-31.7708643603857,-1.73627919616627
739,-31.7732060872254,-1.73609466447179
740,-31.7755478140652,-1.73591013277731
741,-31.777889540905,-1.73572560108284
742,-31.7802417057292,-1.73554024685905
743,-31.780799644623,-1.73549628041184
744,-31.7715275952063,-1.73622693223727
745,-31.760783264274,-1.73707360212176
746,-31.7500453547551,-1.73791976598896
747,-31.7393074452361,-1.73876592985616
748,-31.7285695357172,-1.73961209372335
749,-31.7178316261982,-1.74045825759055
750,-31.7070937166792,-1.74130442145775
751,-31.6963804670397,-1.74214864208834
752,-31.6830879137068,-1.74319611583667
753,-31.6617665170727,-1.74487627484696
754,-31.6398484034213,-1.74660345608053
755,-31.6179307078084,-1.74833060437202
756,-31.5960130121954,-1.75005775266352
757,-31.5740953165825,-1.75178490095501
758,-31.5521776209696,-1.7535120492465
759,-31.5302599253567,-1.755239197538
760,-31.5083354973596,-1.75696687635177
761,-31.4878292453619,-1.75858280070478
762,-31.4691425200468,-1.76005534354284
763,-31.4504756529955,-1.76152632151902
764,-31.4318087859442,-1.76299729949519
765,-31.4131419188929,-1.76446827747137
766,-31.3944750518416,-1.76593925544755
767,-31.3758081847903,-1.76741023342373
768,-31.357141317739,-1.76888121139991
769,-31.3384473982164,-1.77035432115264
770,-31.3225225409222,-1.77160922452176
771,-31.3122210108654,-1.77242100101285
772,-31.3021302229784,-1.77321617069523
773,-31.2920394350913,-1.7740113403776
774,-31.2819486472043,-1.77480651005997
775,-31.2718578593173,-1.77560167974235
776,-31.2617670714303,-1.77639684942472
777,-31.2516762835433,-1.77719201910709
778,-31.2415854956563,-1.77798718878947
779,-31.2315067720137,-1.77878140779073
780,-31.2232366926484,-1.77943310282741
